REGIÃO ;PAÍS;CAPACIDADE EFETIVA DE REFINO em mil barris por dia;ANO
Europa e Eurásia;Romênia;246,569151;2017
Europa e Eurásia;Rússia;6596;2017
Europa e Eurásia;Suécia;454;2017
Europa e Eurásia;Suíça;68;2017
Europa e Eurásia;Turcomenistão;271,109589;2017
Europa e Eurásia;Turquia;596;2017
Europa e Eurásia;Ucrânia;250;2017
Europa e Eurásia;Uzbequistão;232;2017
Europa e Eurásia;Outros;395;2017
Oriente Médio;Arábia Saudita;2826;2017
Oriente Médio;Bahrein;260;2017
Oriente Médio;Catar;429;2017
Oriente Médio;Coveite;736;2017
Oriente Médio;Emirados Árabes Unidos;1229;2017
Oriente Médio;Irã;2105;2017
Oriente Médio;Iraque;779;2017
Oriente Médio;Israel;301;2017
Oriente Médio;Omã;304;2017
Oriente Médio;Outros ;496;2017
África;África do Sul;520;2017
África;Argélia;657;2017
África;Egito;810;2017
África;Marrocos;200,821918;2017
África;Nigéria;339;2017
África;Outros;912;2017
Ásia-Pacífico;Austrália;453,95;2017
Ásia-Pacífico;Bangladesh;43;2017
Ásia-Pacífico;China;15230,98692;2017
Ásia-Pacífico;Cingapura;1514;2017
Ásia-Pacífico;Coreia do Sul;3298,4;2017
Ásia-Pacífico;Filipinas;270,94;2017
Ásia-Pacífico;Índia;4699,239355;2017
Ásia-Pacífico;Indonésia;1110,645;2017
Ásia-Pacífico;Japão;3342,86;2017
Ásia-Pacífico;Malásia;625;2017
Ásia-Pacífico;Nova Zelândia;135,605;2017
Ásia-Pacífico;Paquistão;401,191324;2017
Ásia-Pacífico;Tailândia;1234,5;2017
Ásia-Pacífico;Taiwan;1083;2017
Ásia-Pacífico;Vietinã;167;2017
Ásia-Pacífico;Outros ;191,33;2017
América do Norte;Canadá;2025,189424;2018
América do Norte;Estados Unidos;18762;2018
América do Norte;México;1545,65;2018
Américas Central e do Sul;Argentina;580;2018
Américas Central e do Sul;Brasil;2285,075664;2018
Américas Central e do Sul;Chile;258;2018
Américas Central e do Sul;Colombia;421;2018
Américas Central e do Sul;Curaçao;320;2018
Américas Central e do Sul;Equador;175;2018
Américas Central e do Sul;Peru;253;2018
Américas Central e do Sul;Trinidad e Tobago;165;2018
Américas Central e do Sul;Venezuela;1303;2018
Américas Central e do Sul;Outros ;384;2018
Europa e Eurásia;Alemanha;2084,531507;2018
Europa e Eurásia;Áustria;192,789041;2018
Europa e Eurásia;Azerbaijão;120;2018
Europa e Eurásia;Bélgica;776;2018
Europa e Eurásia;Bielorrússia;520;2018
Europa e Eurásia;Bulgária;195;2018
Europa e Eurásia;Cazaquistão;390;2018
Europa e Eurásia;Dinamarca;180,547945;2018
Europa e Eurásia;Eslováquia;122;2018
Europa e Eurásia;Espanha;1564,201918;2018
Europa e Eurásia;Finlândia ;261,068493;2018
Europa e Eurásia;França;1245,09589;2018
Europa e Eurásia;Grécia;528;2018
Europa e Eurásia;Holanda;1293,75;2018
Europa e Eurásia;Hungria;165;2018
Europa e Eurásia;Irlanda;75;2018
Europa e Eurásia;Itália;1900;2018
Europa e Eurásia;Lituânia;240,986301;2018
Europa e Eurásia;Noruega;342;2018
Europa e Eurásia;Polônia;581,379452;2018
Europa e Eurásia;Portugal;330;2018
Europa e Eurásia;Reino Unido;1227,021918;2018
Europa e Eurásia;República Tcheca;174,715068;2018
Europa e Eurásia;Romênia;253,959397;2018
Europa e Eurásia;Rússia;6596;2018
Europa e Eurásia;Suécia;454;2018
Europa e Eurásia;Suíça;68;2018
Europa e Eurásia;Turcomenistão;271,109589;2018
Europa e Eurásia;Turquia;818;2018
Europa e Eurásia;Ucrânia;250;2018
Europa e Eurásia;Uzbequistão;232;2018
Europa e Eurásia;Outros;395;2018
Oriente Médio;Arábia Saudita;2835;2018
Oriente Médio;Bahrein;260;2018
Oriente Médio;Catar;429;2018
Oriente Médio;Coveite;736;2018
Oriente Médio;Emirados Árabes Unidos;1229;2018
Oriente Médio;Irã;2225;2018
Oriente Médio;Iraque;859;2018
Oriente Médio;Israel;301;2018
Oriente Médio;Omã;334;2018
Oriente Médio;Outros ;496;2018
África;África do Sul;520;2018
África;Argélia;657;2018
África;Egito;795;2018
África;Marrocos;200,821918;2018
África;Nigéria;344;2018
África;Outros;917;2018
Ásia-Pacífico;Austrália;453,95;2018
Ásia-Pacífico;Bangladesh;43;2018
Ásia-Pacífico;China;15655,47425;2018
Ásia-Pacífico;Cingapura;1514;2018
Ásia-Pacífico;Coreia do Sul;3345,9;2018
Ásia-Pacífico;Filipinas;270,94;2018
Ásia-Pacífico;Índia;4971,631613;2018
Ásia-Pacífico;Indonésia;1116,355257;2018
Ásia-Pacífico;Japão;3342,86;2018
Ásia-Pacífico;Malásia;625;2018
Ásia-Pacífico;Nova Zelândia;135,605;2018
Ásia-Pacífico;Paquistão;401,453055;2018
Ásia-Pacífico;Tailândia;1234,5;2018
Ásia-Pacífico;Taiwan;1083;2018
Ásia-Pacífico;Vietinã;367;2018
Ásia-Pacífico;Outros ;191,33;2018
