BLOCO;REGIÃO ;PAÍS;PRODUÇÃO EM mil barris / dia;ANO
NÃO OPEP;Comunidade dos Estados Independentes;Uzbequistão;67,72868852;
NÃO OPEP;Comunidade dos Estados Independentes;Outros;35,27934426;
OPEP;Oriente Médio;Arábia Saudita;11621,79428;
NÃO OPEP;Oriente Médio;Catar;1927,899452;
OPEP;Oriente Médio;Coveite;3172,78694;
OPEP;Oriente Médio;Emirados Árabes Unidos;3424,7262;
NÃO OPEP;Oriente Médio;Iêmen;177,8446918;
OPEP;Oriente Médio;Irã;3809,756148;
OPEP;Oriente Médio;Iraque;3078,5;
NÃO OPEP;Oriente Médio;Omã;918,4718579;
NÃO OPEP;Oriente Médio;Síria;171;
NÃO OPEP;Oriente Médio;Outros;183,8407377;
OPEP;África;Argélia;1536,809071;
OPEP;África;Angola;1734,063651;
NÃO OPEP;África;Chade;100,8196721;
OPEP;África;Congo ;279,9701;
NÃO OPEP;África;Egito;715,295818;
OPEP;África;Gabão;221,148;
OPEP;África;Guiné-Equatorial;319,726623;
OPEP;África;Líbia;1538,5328;
OPEP;África;Nigéria;2411,571183;
NÃO OPEP;África;Sudão;103,1075;
NÃO OPEP;África;Sudão do Sul;31,041;
NÃO OPEP;África;Tunísia;82;
NÃO OPEP;África;Outros;196;
NÃO OPEP;Ásia-Pacífico;Austrália;478,6289529;
NÃO OPEP;Ásia-Pacífico;Brunei;159,0315763;
NÃO OPEP;Ásia-Pacífico;China;4155,228798;
NÃO OPEP;Ásia-Pacífico;Índia;925,7088922;
NÃO OPEP;Ásia-Pacífico;Indonésia;917,010033;
NÃO OPEP;Ásia-Pacífico;Malásia;662,6262249;
NÃO OPEP;Ásia-Pacífico;Tailândia;470,7641355;
NÃO OPEP;Ásia-Pacífico;Vietnã;346,7175683;
NÃO OPEP;Ásia-Pacífico;Outros;291,3353515;
NÃO OPEP;Américas Central e do Sul;Argentina;656,733072;2012
NÃO OPEP;Américas Central e do Sul;Brasil (1);2131,583647;2012
NÃO OPEP;Américas Central e do Sul;Colômbia;944,119227;2012
OPEP;Américas Central e do Sul;Equador;504,615536;2012
NÃO OPEP;Américas Central e do Sul;Peru;157,232995;2012
NÃO OPEP;Américas Central e do Sul;Trinidad e Tobago;116,952331;2012
OPEP;Américas Central e do Sul;Venezuela;2703,734191;2012
NÃO OPEP;Américas Central e do Sul;Outros;147,103133;2012
NÃO OPEP;Europa e Eurásia;Azerbaijão;882,32123;2012
NÃO OPEP;Europa e Eurásia;Cazaquistão;1664,131034;2012
NÃO OPEP;Europa e Eurásia;Dinamarca;204,235335;2012
NÃO OPEP;Europa e Eurásia;Itália;111,649458;2012
NÃO OPEP;Europa e Eurásia;Noruega;1911,069683;2012
NÃO OPEP;Europa e Eurásia;Reino Unido;946,290505;2012
NÃO OPEP;Europa e Eurásia;Romênia;83,070492;2012
NÃO OPEP;Europa e Eurásia;Rússia;10655,73349;2012
NÃO OPEP;Europa e Eurásia;Turcomenistão;233,510896;2012
NÃO OPEP;Europa e Eurásia;Uzbequistão;67,728689;2012
NÃO OPEP;Europa e Eurásia;Outros;370,595216;2012
OPEP;Oriente Médio;Arábia Saudita;11621,79428;2012
OPEP;Oriente Médio;Catar;1927,899452;2012
OPEP;Oriente Médio;Coveite;3164,407978;2012
OPEP;Oriente Médio;Emirados Árabes Unidos;3439,7262;2012
NÃO OPEP;Oriente Médio;Iêmen;177,844692;2012
OPEP;Oriente Médio;Irã;3809,756148;2012
OPEP;Oriente Médio;Iraque;3078,5;2012
NÃO OPEP;Oriente Médio;Omã;918,471858;2012
NÃO OPEP;Oriente Médio;Síria;171;2012
NÃO OPEP;Oriente Médio;Outros;183,840738;2012
OPEP;África;Argélia;1536,809071;2012
OPEP;África;Angola;1734,063651;2012
NÃO OPEP;África;Chade;100,819672;2012
NÃO OPEP;África;Congo ;279,9701;2012
NÃO OPEP;África;Egito;715,295818;2012
OPEP;África;Gabão;221,148;2012
OPEP;África;Guiné-Equatorial;319,726623;2012
OPEP;África;Líbia;1538,5328;2012
OPEP;África;Nigéria;2411,571183;2012
NÃO OPEP;África;Sudão;103,1075;2012
NÃO OPEP;África;Sudão do Sul;31,041;2012
NÃO OPEP;África;Tunísia;82,152213;2012
NÃO OPEP;África;Outros;195,997984;2012
NÃO OPEP;Ásia-Pacífico;Austrália;478,628953;2012
NÃO OPEP;Ásia-Pacífico;Brunei;159,031576;2012
NÃO OPEP;Ásia-Pacífico;China;4155,228798;2012
NÃO OPEP;Ásia-Pacífico;Índia;925,708892;2012
NÃO OPEP;Ásia-Pacífico;Indonésia;917,010033;2012
NÃO OPEP;Ásia-Pacífico;Malásia;662,626225;2012
NÃO OPEP;Ásia-Pacífico;Tailândia;468,049197;2012
NÃO OPEP;Ásia-Pacífico;Vietnã;358,178251;2012
NÃO OPEP;Ásia-Pacífico;Outros;287,035085;2012
NÃO OPEP;América do Norte;Canadá;4000,410965;2013
NÃO OPEP;América do Norte;Estados Unidos;10072,733;2013
NÃO OPEP;América do Norte;México;2874,752731;2013
NÃO OPEP;Américas Central e do Sul;Argentina;644,84758;2013
NÃO OPEP;Américas Central e do Sul;Brasil (1);2095,975105;2013
NÃO OPEP;Américas Central e do Sul;Colômbia;1009,871696;2013
OPEP;Américas Central e do Sul;Equador;527,353561;2013
NÃO OPEP;Américas Central e do Sul;Peru;171,322816;2013
NÃO OPEP;Américas Central e do Sul;Trinidad e Tobago;115,602732;2013
OPEP;Américas Central e do Sul;Venezuela;2680,356164;2013
NÃO OPEP;Américas Central e do Sul;Outros;151,723607;2013
NÃO OPEP;Europa e Eurásia;Azerbaijão;888,381329;2013
NÃO OPEP;Europa e Eurásia;Cazaquistão;1736,702215;2013
NÃO OPEP;Europa e Eurásia;Dinamarca;178,177989;2013
NÃO OPEP;Europa e Eurásia;Itália;114,130731;2013
NÃO OPEP;Europa e Eurásia;Noruega;1832,072258;2013
NÃO OPEP;Europa e Eurásia;Reino Unido;864,468286;2013
NÃO OPEP;Europa e Eurásia;Romênia;85,982822;2013
NÃO OPEP;Europa e Eurásia;Rússia;10806,83989;2013
NÃO OPEP;Europa e Eurásia;Turcomenistão;253,585685;2013
NÃO OPEP;Europa e Eurásia;Uzbequistão;63,289427;2013
NÃO OPEP;Europa e Eurásia;Outros;379,106236;2013
OPEP;Oriente Médio;Arábia Saudita;11392,92664;2013
OPEP;Oriente Médio;Catar;1990,712872;2013
OPEP;Oriente Médio;Coveite;3124,746027;2013
OPEP;Oriente Médio;Emirados Árabes Unidos;3577,354669;2013
NÃO OPEP;Oriente Médio;Iêmen;197,230133;2013
OPEP;Oriente Médio;Irã;3609,229863;2013
OPEP;Oriente Médio;Iraque;3102,5;2013
NÃO OPEP;Oriente Médio;Omã;941,949315;2013
NÃO OPEP;Oriente Médio;Síria;59,1644;2013
NÃO OPEP;Oriente Médio;Outros;208,709616;2013
OPEP;África;Argélia;1485,233041;2013
OPEP;África;Angola;1737,851674;2013
NÃO OPEP;África;Chade;90,635397;2013
NÃO OPEP;África;Congo ;242,5491;2013
NÃO OPEP;África;Egito;709,814933;2013
OPEP;África;Gabão;213,405;2013
OPEP;África;Guiné-Equatorial;282,136523;2013
OPEP;África;Líbia;1047,835658;2013
OPEP;África;Nigéria;2278,703841;2013
NÃO OPEP;África;Sudão;117,8534;2013
NÃO OPEP;África;Sudão do Sul;99,7288;2013
NÃO OPEP;África;Tunísia;76,245973;2013
NÃO OPEP;África;Outros;225,378471;2013
NÃO OPEP;Ásia-Pacífico;Austrália;406,877976;2013
NÃO OPEP;Ásia-Pacífico;Brunei;135,156397;2013
NÃO OPEP;Ásia-Pacífico;China;4216,442628;2013
NÃO OPEP;Ásia-Pacífico;Índia;925,89202;2013
NÃO OPEP;Ásia-Pacífico;Indonésia;882,976398;2013
NÃO OPEP;Ásia-Pacífico;Malásia;627,016169;2013
NÃO OPEP;Ásia-Pacífico;Tailândia;462,192192;2013
NÃO OPEP;Ásia-Pacífico;Vietnã;358,736219;2013
NÃO OPEP;Ásia-Pacífico;Outros;271,978531;2013
NÃO OPEP;América do Norte;Canadá;4270,529903;2014
NÃO OPEP;América do Norte;Estados Unidos;11773,17534;2014
NÃO OPEP;América do Norte;México;2784,200879;2014
NÃO OPEP;Américas Central e do Sul;Argentina;638,019797;2014
NÃO OPEP;Américas Central e do Sul;Brasil (1);2341,375161;2014
NÃO OPEP;Américas Central e do Sul;Colômbia;990,379051;2014
OPEP;Américas Central e do Sul;Equador;556,553903;2014
NÃO OPEP;Américas Central e do Sul;Peru;175,225466;2014
NÃO OPEP;Américas Central e do Sul;Trinidad e Tobago;114,115419;2014
OPEP;Américas Central e do Sul;Venezuela;2692,493151;2014
NÃO OPEP;Américas Central e do Sul;Outros;154,703514;2014
NÃO OPEP;Europa e Eurásia;Azerbaijão;861,175356;2014
NÃO OPEP;Europa e Eurásia;Cazaquistão;1709,566795;2014
NÃO OPEP;Europa e Eurásia;Dinamarca;166,840448;2014
NÃO OPEP;Europa e Eurásia;Itália;119,588909;2014
NÃO OPEP;Europa e Eurásia;Noruega;1880,544228;2014
NÃO OPEP;Europa e Eurásia;Reino Unido;852,459638;2014
NÃO OPEP;Europa e Eurásia;Romênia;84,368575;2014
NÃO OPEP;Europa e Eurásia;Rússia;10860,08809;2014
NÃO OPEP;Europa e Eurásia;Turcomenistão;256,633864;2014
NÃO OPEP;Europa e Eurásia;Uzbequistão;61,307613;2014
NÃO OPEP;Europa e Eurásia;Outros;373,786642;2014
OPEP;Oriente Médio;Arábia Saudita;11518,82272;2014
OPEP;Oriente Médio;Catar;1974,597345;2014
OPEP;Oriente Médio;Coveite;3097,083425;2014
OPEP;Oriente Médio;Emirados Árabes Unidos;3602,90046;2014
NÃO OPEP;Oriente Médio;Iêmen;152,901849;2014
OPEP;Oriente Médio;Irã;3714,137123;2014
OPEP;Oriente Médio;Iraque;3238,621005;2014
NÃO OPEP;Oriente Médio;Omã;943,478904;2014
NÃO OPEP;Oriente Médio;Síria;33;2014
NÃO OPEP;Oriente Médio;Outros;214,204482;2014
OPEP;África;Argélia;1589,092603;2014
OPEP;África;Angola;1701,373826;2014
NÃO OPEP;África;Chade;88,804479;2014
NÃO OPEP;África;Congo ;253,1764;2014
NÃO OPEP;África;Egito;714,445532;2014
OPEP;África;Gabão;210,905;2014
OPEP;África;Guiné-Equatorial;284,398485;2014
OPEP;África;Líbia;517,726;2014
OPEP;África;Nigéria;2276,008737;2014
NÃO OPEP;África;Sudão;119,6045;2014
NÃO OPEP;África;Sudão do Sul;155,3516;2014
NÃO OPEP;África;Tunísia;71,020384;2014
NÃO OPEP;África;Outros;233,85994;2014
NÃO OPEP;Ásia-Pacífico;Austrália;435,85005;2014
NÃO OPEP;Ásia-Pacífico;Brunei;126,420744;2014
NÃO OPEP;Ásia-Pacífico;China;4245,957726;2014
NÃO OPEP;Ásia-Pacífico;Índia;905,390722;2014
NÃO OPEP;Ásia-Pacífico;Indonésia;847,037507;2014
NÃO OPEP;Ásia-Pacífico;Malásia;648,824388;2014
NÃO OPEP;Ásia-Pacífico;Tailândia;460,925973;2014
NÃO OPEP;Ásia-Pacífico;Vietnã;335,920986;2014
NÃO OPEP;Ásia-Pacífico;Outros;306,95878;2014
NÃO OPEP;América do Norte;Canadá;4388,135578;2015
NÃO OPEP;América do Norte;Estados Unidos;12772,91501;2015
NÃO OPEP;América do Norte;México;2586,540847;2015
NÃO OPEP;Américas Central e do Sul;Argentina;646,84702;2015
NÃO OPEP;Américas Central e do Sul;Brasil (1);2524,976918;2015
NÃO OPEP;Américas Central e do Sul;Colômbia;1005,574436;2015
OPEP;Américas Central e do Sul;Equador;543,094861;2015
NÃO OPEP;Américas Central e do Sul;Peru;152,95231;2015
NÃO OPEP;Américas Central e do Sul;Trinidad e Tobago;108,746447;2015
OPEP;Américas Central e do Sul;Venezuela;2630,863;2015
NÃO OPEP;Américas Central e do Sul;Outros;145,500264;2015
NÃO OPEP;Europa e Eurásia;Azerbaijão;850,847603;2015
NÃO OPEP;Europa e Eurásia;Cazaquistão;1694,757886;2015
NÃO OPEP;Europa e Eurásia;Dinamarca;157,799156;2015
NÃO OPEP;Europa e Eurásia;Itália;113,467557;2015
NÃO OPEP;Europa e Eurásia;Noruega;1940,0792;2015
NÃO OPEP;Europa e Eurásia;Reino Unido;963,415531;2015
NÃO OPEP;Europa e Eurásia;Romênia;83,494849;2015
NÃO OPEP;Europa e Eurásia;Rússia;11006,67742;2015
NÃO OPEP;Europa e Eurásia;Turcomenistão;261,980572;2015
NÃO OPEP;Europa e Eurásia;Uzbequistão;59,45625;2015
NÃO OPEP;Europa e Eurásia;Outros;364,763236;2015
OPEP;Oriente Médio;Arábia Saudita;11997,93798;2015
OPEP;Oriente Médio;Catar;1932,508614;2015
OPEP;Oriente Médio;Coveite;3060,775981;2015
OPEP;Oriente Médio;Emirados Árabes Unidos;3897,972489;2015
NÃO OPEP;Oriente Médio;Iêmen;63,312566;2015
OPEP;Oriente Médio;Irã;3852,759885;2015
OPEP;Oriente Médio;Iraque;3985,940667;2015
NÃO OPEP;Oriente Médio;Omã;981,089863;2015
NÃO OPEP;Oriente Médio;Síria;27;2015
NÃO OPEP;Oriente Médio;Outros;212,987426;2015
OPEP;África;Argélia;1557,665233;2015
OPEP;África;Angola;1795,646188;2015
NÃO OPEP;África;Chade;110,613881;2015
NÃO OPEP;África;Congo ;234,2085;2015
NÃO OPEP;África;Egito;726,245479;2015
OPEP;África;Gabão;213,54;2015
OPEP;África;Guiné-Equatorial;259,732362;2015
OPEP;África;Líbia;436,643836;2015
OPEP;África;Nigéria;2201,408745;2015
NÃO OPEP;África;Sudão;109,062156;2015
NÃO OPEP;África;Sudão do Sul;147,7376;2015
NÃO OPEP;África;Tunísia;63,63463;2015
NÃO OPEP;África;Outros;276,442235;2015
NÃO OPEP;Ásia-Pacífico;Austrália;384,277989;2015
NÃO OPEP;Ásia-Pacífico;Brunei;126,754156;2015
NÃO OPEP;Ásia-Pacífico;China;4308,835068;2015
NÃO OPEP;Ásia-Pacífico;Índia;893,455842;2015
NÃO OPEP;Ásia-Pacífico;Indonésia;837,646556;2015
NÃO OPEP;Ásia-Pacífico;Malásia;696,323797;2015
NÃO OPEP;Ásia-Pacífico;Tailândia;477,806274;2015
NÃO OPEP;Ásia-Pacífico;Vietnã;365,347178;2015
NÃO OPEP;Ásia-Pacífico;Outros;308,498457;2015
NÃO OPEP;América do Norte;Canadá;4450,796497;2016
NÃO OPEP;América do Norte;Estados Unidos;12339,91517;2016
NÃO OPEP;América do Norte;México;2455,799498;2016
NÃO OPEP;Américas Central e do Sul;Argentina;610,104078;2016
NÃO OPEP;Américas Central e do Sul;Brasil (1);2591,34857;2016
NÃO OPEP;Américas Central e do Sul;Colômbia;885,898434;2016
OPEP;Américas Central e do Sul;Equador;548,391833;2016
NÃO OPEP;Américas Central e do Sul;Peru;140,702243;2016
NÃO OPEP;Américas Central e do Sul;Trinidad e Tobago;96,660918;2016
OPEP;Américas Central e do Sul;Venezuela;2347;2016
NÃO OPEP;Américas Central e do Sul;Outros;134,899829;2016
NÃO OPEP;Europa e Eurásia;Azerbaijão;837,523511;2016
NÃO OPEP;Europa e Eurásia;Cazaquistão;1654,972076;2016
NÃO OPEP;Europa e Eurásia;Dinamarca;141,703719;2016
NÃO OPEP;Europa e Eurásia;Itália;77,777255;2016
NÃO OPEP;Europa e Eurásia;Noruega;1991,445284;2016
NÃO OPEP;Europa e Eurásia;Reino Unido;1012,580847;2016
NÃO OPEP;Europa e Eurásia;Romênia;79,31;2016
NÃO OPEP;Europa e Eurásia;Rússia;11268,79025;2016
NÃO OPEP;Europa e Eurásia;Turcomenistão;244,30429;2016
NÃO OPEP;Europa e Eurásia;Uzbequistão;57,738655;2016
NÃO OPEP;Europa e Eurásia;Outros;349,130696;2016
OPEP;Oriente Médio;Arábia Saudita;12406,04761;2016
OPEP;Oriente Médio;Catar;1938,054719;2016
OPEP;Oriente Médio;Coveite;3141,080475;2016
OPEP;Oriente Médio;Emirados Árabes Unidos;4037,54115;2016
NÃO OPEP;Oriente Médio;Iêmen;42,576511;2016
OPEP;Oriente Médio;Irã;4586,093551;2016
OPEP;Oriente Médio;Iraque;4422,8866;2016
NÃO OPEP;Oriente Médio;Omã;1004,262568;2016
NÃO OPEP;Oriente Médio;Síria;25;2016
NÃO OPEP;Oriente Médio;Outros;214,394458;2016
OPEP;África;Argélia;1576,997268;2016
OPEP;África;Angola;1744,837415;2016
NÃO OPEP;África;Chade;102,955043;2016
NÃO OPEP;África;Congo ;231,65;2016
NÃO OPEP;África;Egito;691,387295;2016
OPEP;África;Gabão;220,657;2016
OPEP;África;Guiné-Equatorial;223,077161;2016
OPEP;África;Líbia;411,775956;2016
OPEP;África;Nigéria;1899,912038;2016
NÃO OPEP;África;Sudão;103,613582;2016
NÃO OPEP;África;Sudão do Sul;117,2098;2016
NÃO OPEP;África;Tunísia;59,716913;2016
NÃO OPEP;África;Outros;258,886383;2016
NÃO OPEP;Ásia-Pacífico;Austrália;361,057546;2016
NÃO OPEP;Ásia-Pacífico;Brunei;120,908992;2016
NÃO OPEP;Ásia-Pacífico;China;3999,155874;2016
NÃO OPEP;Ásia-Pacífico;Índia;873,749769;2016
NÃO OPEP;Ásia-Pacífico;Indonésia;875,751868;2016
NÃO OPEP;Ásia-Pacífico;Malásia;703,560945;2016
NÃO OPEP;Ásia-Pacífico;Tailândia;485,577333;2016
NÃO OPEP;Ásia-Pacífico;Vietnã;332,551585;2016
NÃO OPEP;Ásia-Pacífico;Outros;291,990891;2016
NÃO OPEP;América do Norte;Canadá;4798,189605;2017
NÃO OPEP;América do Norte;Estados Unidos;13134,73866;2017
NÃO OPEP;América do Norte;México;2224,15016;2017
NÃO OPEP;Américas Central e do Sul;Argentina;590,548947;2017
NÃO OPEP;Américas Central e do Sul;Brasil (1);2720,902161;2017
NÃO OPEP;Américas Central e do Sul;Colômbia;854,03995;2017
OPEP;Américas Central e do Sul;Equador;531,312573;2017
NÃO OPEP;Américas Central e do Sul;Peru;136,636178;2017
NÃO OPEP;Américas Central e do Sul;Trinidad e Tobago;98,690234;2017
OPEP;Américas Central e do Sul;Venezuela;2096,0428;2017
NÃO OPEP;Américas Central e do Sul;Outros;131,536485;2017
NÃO OPEP;Europa e Eurásia;Azerbaijão;791,889973;2017
NÃO OPEP;Europa e Eurásia;Cazaquistão;1838,056061;2017
NÃO OPEP;Europa e Eurásia;Dinamarca;138,246254;2017
NÃO OPEP;Europa e Eurásia;Itália;86,042492;2017
NÃO OPEP;Europa e Eurásia;Noruega;1962,86179;2017
NÃO OPEP;Europa e Eurásia;Reino Unido;999,068795;2017
NÃO OPEP;Europa e Eurásia;Romênia;75,846521;2017
NÃO OPEP;Europa e Eurásia;Rússia;11254,69144;2017
NÃO OPEP;Europa e Eurásia;Turcomenistão;232,421982;2017
NÃO OPEP;Europa e Eurásia;Uzbequistão;60,900466;2017
NÃO OPEP;Europa e Eurásia;Outros;339,643419;2017
OPEP;Oriente Médio;Arábia Saudita;11892,19826;2017
OPEP;Oriente Médio;Catar;1873,691824;2017
OPEP;Oriente Médio;Coveite;3000,865863;2017
OPEP;Oriente Médio;Emirados Árabes Unidos;3910,020932;2017
NÃO OPEP;Oriente Médio;Iêmen;60,013699;2017
OPEP;Oriente Médio;Irã;5023,749683;2017
OPEP;Oriente Médio;Iraque;4533,416667;2017
NÃO OPEP;Oriente Médio;Omã;970,569589;2017
NÃO OPEP;Oriente Médio;Síria;24,59863;2017
NÃO OPEP;Oriente Médio;Outros;208,24297;2017
OPEP;África;Argélia;1540,325644;2017
OPEP;África;Angola;1676,492865;2017
NÃO OPEP;África;Chade;103,766052;2017
NÃO OPEP;África;Congo ;269,3;2017
NÃO OPEP;África;Egito;660,201507;2017
OPEP;África;Gabão;210,066;2017
OPEP;África;Guiné-Equatorial;195,279359;2017
