REGIÃO ;PAÍS;VALOR DO CONSUMO EM BILHÕES m3;ANO
Europa e Eurásia;Turquia;41,8398775;2011
Europa e Eurásia;Turcomenistão;20,73525548;2011
Europa e Eurásia;Ucrânia;56,12690511;2011
Europa e Eurásia;Uzbequistão;47,35637242;2011
Europa e Eurásia;Outros;9,694682932;2011
Oriente Médio;Arábia Saudita;87,647;2011
Oriente Médio;Catar;28,67450106;2011
Oriente Médio;Coveite;15,85792548;2011
Oriente Médio;Emirados Árabes Unidos;61,63614396;2011
Oriente Médio;Irã;153,1926108;2011
Oriente Médio;Iraque;6,30192;2011
Oriente Médio;Israel;4,7492;2011
Oriente Médio;Omã;18,11364867;2011
Oriente Médio;Outros;21,91699635;2011
África;África do Sul;4,280949296;2011
África;África Central;4,0816135;2011
África;África Ocidental;12,30346975;2011
África;África Oriental;0,955031734;2011
África;Argélia;26,7969625;2011
África;Egito;47,75925;2011
África;Marrocos;0,882871328;2011
África;Outros Norte da África;10,14817426;2011
Ásia-Pacífico;Austrália;35,28308142;2011
Ásia-Pacífico;Bangladesh;19,5821495;2011
Ásia-Pacífico;China;135,1628721;2011
Ásia-Pacífico;Cingapura;8,28712437;2011
Ásia-Pacífico;Coreia do Sul;48,4454628;2011
Ásia-Pacífico;Filipinas;3,805851468;2011
Ásia-Pacífico;Hong Kong;2,8625382;2011
Ásia-Pacífico;Índia;60,28587708;2011
Ásia-Pacífico;Indonésia;42,73430073;2011
Ásia-Pacífico;Japão;112,025245;2011
Ásia-Pacífico;Malásia;38,317361;2011
Ásia-Pacífico;Nova Zelândia;3,965389435;2011
Ásia-Pacífico;Paquistão;35,33964684;2011
Ásia-Pacífico;Tailândia;44,3180607;2011
Ásia-Pacífico;Taiwan;17,03993192;2011
Ásia-Pacífico;Vietnã;8,1832;2011
Ásia-Pacífico;Outros;7,507100763;2011
América do Norte;Canadá;97,209925;2012
América do Norte;Estados Unidos;688,1227781;2012
América do Norte;México;73,65377033;2012
Américas Central e do Sul;Argentina;45,66420934;2012
Américas Central e do Sul;Brasil;32,57653327;2012
Américas Central e do Sul;Chile;5,3008377;2012
Américas Central e do Sul;Colômbia;9,465897678;2012
Américas Central e do Sul;Equador;0,748968616;2012
Américas Central e do Sul;Peru;5,989854348;2012
Américas Central e do Sul;Trinidad e Tobago;17,0720847;2012
Américas Central e do Sul;Venezuela;34,61283083;2012
Europa e Eurásia;Outros;6,317421762;2012
Europa e Eurásia;Alemanha;81,11005556;2012
Europa e Eurásia;Áustria;8,624141591;2012
Europa e Eurásia;Azerbaijão;9,36144555;2012
Europa e Eurásia;Bielorrússia;19,41009833;2012
Europa e Eurásia;Bélgica;16,74;2012
Europa e Eurásia;Bulgaria;2,851225;2012
Europa e Eurásia;Cazaquistão;12,95282831;2012
Europa e Eurásia;Croácia;2,806605556;2012
Europa e Eurásia;Dinamarca;4,060289214;2012
Europa e Eurásia;Eslováquia;5,076875;2012
Europa e Eurásia;Eslovênia;0,825338593;2012
Europa e Eurásia;Estônia;0,613777778;2012
Europa e Eurásia;Espanha;33,22561414;2012
Europa e Eurásia;Finlândia ;3,1945;2012
Europa e Eurásia;França;44,44429503;2012
Europa e Eurásia;Grécia ;4,226817808;2012
Europa e Eurásia;Holanda;39,28333333;2012
Europa e Eurásia;Hungria;9,739972222;2012
Europa e Eurásia;Irlanda;4,690337695;2012
Europa e Eurásia;Itália;71,35658301;2012
Europa e Eurásia;Letônia;1,427187807;2012
Europa e Eurásia;Lituânia;3,0874161;2012
Europa e Eurásia;Luxemburgo;1,222372175;2012
Europa e Eurásia;Macedônia;0,133084416;2012
Europa e Eurásia;Noruega;4,001820342;2012
Europa e Eurásia;Polônia;17,41936111;2012
Europa e Eurásia;Portugal;4,555491532;2012
Europa e Eurásia;República Tcheca;7,97365;2012
Europa e Eurásia;Reino Unido;76,89873895;2012
Europa e Eurásia;Romênia;12,5341;2012
Europa e Eurásia;Rússia;428,6259027;2012
Europa e Eurásia;Suécia;1,0924;2012
Europa e Eurásia;Suíça;3,063;2012
Europa e Eurásia;Turquia;43,319215;2012
Europa e Eurásia;Turcomenistão;22,93844206;2012
Europa e Eurásia;Ucrânia;51,83871681;2012
Europa e Eurásia;Uzbequistão;46,2385;2012
Europa e Eurásia;Outros;9,648241198;2012
Oriente Médio;Arábia Saudita;94,3635;2012
Oriente Médio;Catar;33,59904548;2012
Oriente Médio;Coveite;17,53184121;2012
Oriente Médio;Emirados Árabes Unidos;63,93075;2012
Oriente Médio;Irã;152,5455339;2012
Oriente Médio;Iraque;6,341345;2012
Oriente Médio;Israel;2,441625;2012
Oriente Médio;Omã;19,68708904;2012
Oriente Médio;Outros;20,36695242;2012
África;África do Sul;4,35732889;2012
África;África Central;4,073047;2012
África;África Ocidental;12,9782046;2012
África;África Oriental;1,099139201;2012
África;Argélia;29,874075;2012
África;Egito;50,637125;2012
África;Marrocos;1,180759733;2012
África;Outros Norte da África;10,90774117;2012
Ásia-Pacífico;Austrália;35,39067949;2012
Ásia-Pacífico;Bangladesh;21,33627925;2012
Ásia-Pacífico;China;150,8775822;2012
Ásia-Pacífico;Cingapura;8,93;2012
Ásia-Pacífico;Coreia do Sul;52,5286395;2012
Ásia-Pacífico;Filipinas;3,648458274;2012
Ásia-Pacífico;Hong Kong;2,635923525;2012
Ásia-Pacífico;Índia;55,69909183;2012
Ásia-Pacífico;Indonésia;42,88371549;2012
Ásia-Pacífico;Japão;123,2150808;2012
Ásia-Pacífico;Malásia;42,015701;2012
Ásia-Pacífico;Nova Zelândia;4,42818851;2012
Ásia-Pacífico;Paquistão;36,59723057;2012
Ásia-Pacífico;Tailândia;48,6335029;2012
Ásia-Pacífico;Taiwan;17,88522842;2012
Ásia-Pacífico;Vietnã;9,027575;2012
Ásia-Pacífico;Outros;8,530542354;2012
América do Norte;Canadá;104,263825;2013
América do Norte;Estados Unidos;707,0228377;2013
América do Norte;México;77,79506636;2013
Américas Central e do Sul;Argentina;46,02768897;2013
Américas Central e do Sul;Brasil;38,38277277;2013
Américas Central e do Sul;Chile;5,312584;2013
Américas Central e do Sul;Colômbia;10,47725547;2013
Américas Central e do Sul;Equador;0,851181747;2013
Américas Central e do Sul;Peru;5,881962075;2013
Américas Central e do Sul;Trinidad e Tobago;17,36920552;2013
Américas Central e do Sul;Venezuela;32,3058005;2013
Europa e Eurásia;Outros;6,890622285;2013
Europa e Eurásia;Alemanha;84,97433333;2013
Europa e Eurásia;Áustria;8,200461133;2013
Europa e Eurásia;Azerbaijão;9,4029894;2013
Europa e Eurásia;Bielorrússia;19,27027729;2013
Europa e Eurásia;Bélgica;16,533;2013
Europa e Eurásia;Bulgaria;2,7544;2013
Europa e Eurásia;Cazaquistão;13,56226205;2013
Europa e Eurásia;Croácia;2,653794444;2013
Europa e Eurásia;Dinamarca;3,829782496;2013
Europa e Eurásia;Eslováquia;5,5992;2013
Europa e Eurásia;Eslovênia;0,810667068;2013
Europa e Eurásia;Estônia;0,632777778;2013
Europa e Eurásia;Espanha;30,32809603;2013
Europa e Eurásia;Finlândia ;2,970666667;2013
Europa e Eurásia;França;45,1431537;2013
Europa e Eurásia;Grécia ;3,730692595;2013
Europa e Eurásia;Holanda;39,11111111;2013
Europa e Eurásia;Hungria;9,080138889;2013
Europa e Eurásia;Irlanda;4,467215124;2013
Europa e Eurásia;Itália;66,74042883;2013
Europa e Eurásia;Letônia;1,4062125;2013
Europa e Eurásia;Lituânia;2,5171972;2013
Europa e Eurásia;Luxemburgo;1,03495705;2013
Europa e Eurásia;Macedônia;0,150659672;2013
Europa e Eurásia;Noruega;3,974099107;2013
Europa e Eurásia;Polônia;17,41041667;2013
Europa e Eurásia;Portugal;4,318342667;2013
Europa e Eurásia;República Tcheca;8,078675;2013
Europa e Eurásia;Reino Unido;76,32575451;2013
Europa e Eurásia;Romênia;11,4427;2013
Europa e Eurásia;Rússia;424,8674299;2013
Europa e Eurásia;Suécia;1,082475;2013
Europa e Eurásia;Suíça;3,22575;2013
Europa e Eurásia;Turquia;43,966485;2013
Europa e Eurásia;Turcomenistão;19,33121154;2013
Europa e Eurásia;Ucrânia;47,69911504;2013
Europa e Eurásia;Uzbequistão;46,151875;2013
Europa e Eurásia;Outros;8,939291557;2013
Oriente Médio;Arábia Saudita;95,0285;2013
Oriente Médio;Catar;35,57204549;2013
Oriente Médio;Coveite;17,77039024;2013
Oriente Médio;Emirados Árabes Unidos;64,74962832;2013
Oriente Médio;Irã;153,834493;2013
Oriente Médio;Iraque;7,072655;2013
Oriente Médio;Israel;6,635475;2013
Oriente Médio;Omã;21,67549203;2013
Oriente Médio;Outros;20,98486699;2013
África;África do Sul;4,0543686;2013
África;África Central;3,660390405;2013
África;África Ocidental;12,67017846;2013
África;África Oriental;1,142406267;2013
África;Argélia;32,1215125;2013
África;Egito;49,501375;2013
África;Marrocos;1,144918796;2013
África;Outros Norte da África;12,30083139;2013
Ásia-Pacífico;Austrália;37,17348249;2013
Ásia-Pacífico;Bangladesh;21,95278663;2013
Ásia-Pacífico;China;171,878542;2013
Ásia-Pacífico;Cingapura;10,01524509;2013
Ásia-Pacífico;Coreia do Sul;54,9758241;2013
Ásia-Pacífico;Filipinas;3,360541251;2013
Ásia-Pacífico;Hong Kong;2,4833277;2013
Ásia-Pacífico;Índia;49,01930183;2013
Ásia-Pacífico;Indonésia;41,44222107;2013
Ásia-Pacífico;Japão;123,5368847;2013
Ásia-Pacífico;Malásia;44,567323;2013
Ásia-Pacífico;Nova Zelândia;4,708021759;2013
Ásia-Pacífico;Paquistão;35,58572865;2013
Ásia-Pacífico;Tailândia;48,86432567;2013
Ásia-Pacífico;Taiwan;17,93790662;2013
Ásia-Pacífico;Vietnã;9,409715;2013
Ásia-Pacífico;Outros;8,625445072;2013
América do Norte;Canadá;109,59275;2014
América do Norte;Estados Unidos;722,2604554;2014
América do Norte;México;78,84844744;2014
Américas Central e do Sul;Argentina;46,15497906;2014
Américas Central e do Sul;Brasil;40,65547425;2014
Américas Central e do Sul;Chile;4,3989312;2014
Américas Central e do Sul;Colômbia;11,38406185;2014
Américas Central e do Sul;Equador;0,872552048;2014
Américas Central e do Sul;Peru;6,744971097;2014
Américas Central e do Sul;Trinidad e Tobago;17,04338612;2014
Américas Central e do Sul;Venezuela;34,02659938;2014
Europa e Eurásia;Outros;7,174602687;2014
Europa e Eurásia;Alemanha;73,89502778;2014
Europa e Eurásia;Áustria;7,510975575;2014
Europa e Eurásia;Azerbaijão;9,854446055;2014
Europa e Eurásia;Bielorrússia;19,12143953;2014
Europa e Eurásia;Bélgica;14,463;2014
Europa e Eurásia;Bulgaria;2,73615;2014
Europa e Eurásia;Cazaquistão;14,97758623;2014
Europa e Eurásia;Croácia;2,348571111;2014
Europa e Eurásia;Dinamarca;3,289438226;2014
Europa e Eurásia;Eslováquia;4,387225;2014
Europa e Eurásia;Eslovênia;0,728081527;2014
Europa e Eurásia;Estônia;0,494694444;2014
Europa e Eurásia;Espanha;27,52389992;2014
Europa e Eurásia;Finlândia ;2,655638889;2014
Europa e Eurásia;França;37,90835053;2014
Europa e Eurásia;Grécia ;2,844269041;2014
Europa e Eurásia;Holanda;34,47222222;2014
Europa e Eurásia;Hungria;8,119611111;2014
Europa e Eurásia;Irlanda;4,328269416;2014
Europa e Eurásia;Itália;58,97159341;2014
Europa e Eurásia;Letônia;1,2637625;2014
Europa e Eurásia;Lituânia;2,4017113;2014
Europa e Eurásia;Luxemburgo;0,98059045;2014
Europa e Eurásia;Macedônia;0,129250005;2014
Europa e Eurásia;Noruega;4,301442928;2014
Europa e Eurásia;Polônia;17,01361111;2014
Europa e Eurásia;Portugal;4,125960228;2014
Europa e Eurásia;República Tcheca;7,1898;2014
Europa e Eurásia;Reino Unido;70,05550747;2014
Europa e Eurásia;Romênia;11,03615;2014
Europa e Eurásia;Rússia;422,198243;2014
Europa e Eurásia;Suécia;0,92245;2014
Europa e Eurásia;Suíça;2,79425;2014
Europa e Eurásia;Turquia;46,6465275;2014
Europa e Eurásia;Turcomenistão;19,96299607;2014
Europa e Eurásia;Ucrânia;40,31710914;2014
Europa e Eurásia;Uzbequistão;48,5485;2014
Europa e Eurásia;Outros;9,377803501;2014
Oriente Médio;Arábia Saudita;97,261;2014
Oriente Médio;Catar;38,56818482;2014
Oriente Médio;Coveite;17,87114318;2014
Oriente Médio;Emirados Árabes Unidos;63,43496793;2014
Oriente Médio;Irã;173,4009439;2014
Oriente Médio;Iraque;7,5308343;2014
Oriente Médio;Israel;7,248275;2014
Oriente Médio;Omã;21,25777886;2014
Oriente Médio;Outros;20,93673593;2014
África;África do Sul;4,298224547;2014
África;África Central;3,60791724;2014
África;África Ocidental;15,95204451;2014
África;África Oriental;1,255106924;2014
África;Argélia;36,091825;2014
África;Egito;46,2187495;2014
África;Marrocos;1,109615;2014
África;Outros Norte da África;11,32003391;2014
Ásia-Pacífico;Austrália;40,09991719;2014
Ásia-Pacífico;Bangladesh;23,02227158;2014
Ásia-Pacífico;China;188,3631356;2014
Ásia-Pacífico;Cingapura;10,38951881;2014
Ásia-Pacífico;Coreia do Sul;50,0039991;2014
Ásia-Pacífico;Filipinas;3,534256701;2014
Ásia-Pacífico;Hong Kong;2,3870397;2014
Ásia-Pacífico;Índia;48,50156676;2014
Ásia-Pacífico;Indonésia;41,46929839;2014
Ásia-Pacífico;Japão;124,7521187;2014
Ásia-Pacífico;Malásia;44,709209;2014
Ásia-Pacífico;Nova Zelândia;5,231399466;2014
Ásia-Pacífico;Paquistão;34,98668945;2014
Ásia-Pacífico;Tailândia;49,94473217;2014
Ásia-Pacífico;Taiwan;18,86816866;2014
Ásia-Pacífico;Vietnã;9,85265;2014
Ásia-Pacífico;Outros;10,10770741;2014
América do Norte;Canadá;109,75305;2015
América do Norte;Estados Unidos;743,5794943;2015
América do Norte;México;80,78291622;2015
Américas Central e do Sul;Argentina;46,65256827;2015
Américas Central e do Sul;Brasil;42,93654087;2015
Américas Central e do Sul;Chile;4,824285657;2015
Américas Central e do Sul;Colômbia;11,21172938;2015
Américas Central e do Sul;Equador;0,821033212;2015
Américas Central e do Sul;Peru;7,06608455;2015
Américas Central e do Sul;Trinidad e Tobago;17,01515195;2015
Américas Central e do Sul;Venezuela;37,03823582;2015
Europa e Eurásia;Outros;7,105573868;2015
Europa e Eurásia;Alemanha;76,95361111;2015
Europa e Eurásia;Áustria;7,968095001;2015
Europa e Eurásia;Azerbaijão;11,1465525;2015
Europa e Eurásia;Bielorrússia;17,89891052;2015
Europa e Eurásia;Bélgica;15,8499;2015
Europa e Eurásia;Bulgaria;3,00035;2015
Europa e Eurásia;Cazaquistão;15,3346237;2015
Europa e Eurásia;Croácia;2,421231111;2015
Europa e Eurásia;Dinamarca;3,309252611;2015
Europa e Eurásia;Eslováquia;4,5118;2015
Europa e Eurásia;Eslovênia;0,772434021;2015
Europa e Eurásia;Estônia;0,439777778;2015
Europa e Eurásia;Espanha;28,53782542;2015
Europa e Eurásia;Finlândia ;2,287861111;2015
Europa e Eurásia;França;40,75176458;2015
Europa e Eurásia;Grécia ;3,07138797;2015
Europa e Eurásia;Holanda;34,08055556;2015
Europa e Eurásia;Hungria;8,710666667;2015
Europa e Eurásia;Irlanda;4,376369;2015
Europa e Eurásia;Itália;64,3154178;2015
Europa e Eurásia;Letônia;1,27435;2015
Europa e Eurásia;Lituânia;2,403765;2015
Europa e Eurásia;Luxemburgo;0,894273925;2015
Europa e Eurásia;Macedônia;0,130195524;2015
Europa e Eurásia;Noruega;4,509636647;2015
Europa e Eurásia;Polônia;17,09880556;2015
Europa e Eurásia;Portugal;4,819863296;2015
Europa e Eurásia;República Tcheca;7,53945;2015
Europa e Eurásia;Reino Unido;72,04545754;2015
Europa e Eurásia;Romênia;10,370825;2015
Europa e Eurásia;Rússia;408,6748223;2015
Europa e Eurásia;Suécia;0,891175;2015
Europa e Eurásia;Suíça;2,9855;2015
Europa e Eurásia;Turquia;45,9590425;2015
Europa e Eurásia;Turcomenistão;25,38630492;2015
Europa e Eurásia;Ucrânia;31,98869223;2015
Europa e Eurásia;Uzbequistão;46,344375;2015
Europa e Eurásia;Outros;9,702085819;2015
Oriente Médio;Arábia Saudita;99,2275;2015
Oriente Médio;Catar;42,49542362;2015
Oriente Médio;Coveite;20,32270697;2015
Oriente Médio;Emirados Árabes Unidos;71,54823076;2015
Oriente Médio;Irã;184,0194852;2015
Oriente Médio;Iraque;7,30109675;2015
Oriente Médio;Israel;8,052575;2015
Oriente Médio;Omã;22,97065503;2015
Oriente Médio;Outros;22,39735837;2015
África;África do Sul;4,318626836;2015
África;África Central;3,451302442;2015
África;África Ocidental;23,90684824;2015
África;África Oriental;1,607924893;2015
África;Argélia;37,9225;2015
África;Egito;46,01877088;2015
África;Marrocos;1,129837188;2015
África;Outros Norte da África;9,699219859;2015
Ásia-Pacífico;Austrália;42,10696996;2015
Ásia-Pacífico;Bangladesh;25,85406276;2015
Ásia-Pacífico;China;194,689528;2015
Ásia-Pacífico;Cingapura;11,57865095;2015
Ásia-Pacífico;Coreia do Sul;45,6497271;2015
Ásia-Pacífico;Filipinas;3,322501173;2015
Ásia-Pacífico;Hong Kong;3,045637125;2015
Ásia-Pacífico;Índia;47,80683751;2015
Ásia-Pacífico;Indonésia;41,04607231;2015
Ásia-Pacífico;Japão;118,7176461;2015
Ásia-Pacífico;Malásia;43,945118;2015
Ásia-Pacífico;Nova Zelândia;4,800049604;2015
Ásia-Pacífico;Paquistão;36,5341804;2015
Ásia-Pacífico;Tailândia;50,96095611;2015
Ásia-Pacífico;Taiwan;20,18035999;2015
